epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,689.929,1.32679,0.98945,0.01856,0.65314,0.68118,0.70373,0.40519,1.51776,1.06226,0.02732,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
107,696.402,1.31483,0.97583,0.01846,0.64826,0.62156,0.67226,0.37959,1.54397,1.12032,0.02885,0.0293704,0.00979012,0.0293704,0.00979012,0.0293704,0.00979012,0.0293704,0.00979012
108,702.987,1.31038,0.97019,0.01827,0.65583,0.63379,0.65421,0.35695,1.58416,1.33468,0.02936,0.0293644,0.00978814,0.0293644,0.00978814,0.0293644,0.00978814,0.0293644,0.00978814
109,708.83,1.33032,0.98975,0.01885,0.61531,0.61315,0.64244,0.34386,1.63393,1.27704,0.0307,0.0293585,0.00978616,0.0293585,0.00978616,0.0293585,0.00978616,0.0293585,0.00978616
110,714.635,1.32571,0.99586,0.01865,0.57477,0.65569,0.6381,0.34549,1.5967,1.37073,0.02961,0.0293525,0.00978418,0.0293525,0.00978418,0.0293525,0.00978418,0.0293525,0.00978418
111,720.702,1.30048,0.9755,0.01814,0.57517,0.66766,0.62117,0.3513,1.58053,1.2436,0.02909,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
112,726.483,1.32398,0.99982,0.01882,0.66588,0.64445,0.65681,0.35161,1.664,1.25273,0.03127,0.0293407,0.00978022,0.0293407,0.00978022,0.0293407,0.00978022,0.0293407,0.00978022
113,733.075,1.31086,0.98149,0.01827,0.61509,0.68098,0.65446,0.35414,1.6304,1.21262,0.03081,0.0293347,0.00977824,0.0293347,0.00977824,0.0293347,0.00977824,0.0293347,0.00977824
114,739.445,1.30687,0.96331,0.01829,0.55806,0.58214,0.57116,0.30403,1.77167,1.47006,0.03261,0.0293288,0.00977626,0.0293288,0.00977626,0.0293288,0.00977626,0.0293288,0.00977626
115,746.077,1.30751,1.00748,0.01846,0.61238,0.67823,0.65859,0.36369,1.61928,1.14336,0.03016,0.0293228,0.00977428,0.0293228,0.00977428,0.0293228,0.00977428,0.0293228,0.00977428
116,751.944,1.30096,0.96258,0.01826,0.64565,0.62335,0.64436,0.3699,1.58633,1.19866,0.02914,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
117,758.084,1.29145,0.94745,0.01794,0.65746,0.62904,0.64778,0.36877,1.58074,1.25247,0.02973,0.029311,0.00977032,0.029311,0.00977032,0.029311,0.00977032,0.029311,0.00977032
118,764.134,1.31442,0.97907,0.01835,0.60415,0.65343,0.63013,0.35449,1.62042,1.34155,0.02942,0.029305,0.00976834,0.029305,0.00976834,0.029305,0.00976834,0.029305,0.00976834
119,770.805,1.30339,0.95829,0.01832,0.626,0.61066,0.64451,0.33527,1.75498,1.26994,0.03176,0.0292991,0.00976636,0.0292991,0.00976636,0.0292991,0.00976636,0.0292991,0.00976636
120,777.56,1.29681,0.95466,0.01788,0.71025,0.65039,0.69864,0.38336,1.58567,1.21323,0.0301,0.0292931,0.00976438,0.0292931,0.00976438,0.0292931,0.00976438,0.0292931,0.00976438
121,784.054,1.29076,0.95806,0.01786,0.69274,0.66927,0.69365,0.3862,1.51333,1.17121,0.02799,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
122,790.544,1.29326,0.9523,0.01808,0.67091,0.66016,0.67038,0.35703,1.63542,1.17885,0.03057,0.0292813,0.00976042,0.0292813,0.00976042,0.0292813,0.00976042,0.0292813,0.00976042
123,796.93,1.2657,0.93865,0.0175,0.62492,0.66203,0.67,0.38609,1.54481,1.16883,0.02847,0.0292753,0.00975844,0.0292753,0.00975844,0.0292753,0.00975844,0.0292753,0.00975844
124,803.538,1.2788,0.94417,0.01791,0.69396,0.68785,0.7105,0.39109,1.54299,1.13247,0.02831,0.0292694,0.00975646,0.0292694,0.00975646,0.0292694,0.00975646,0.0292694,0.00975646
125,810.203,1.27891,0.94769,0.01793,0.60176,0.61654,0.65016,0.35598,1.64428,1.24791,0.0305,0.0292634,0.00975448,0.0292634,0.00975448,0.0292634,0.00975448,0.0292634,0.00975448
126,816.542,1.27214,0.96239,0.01794,0.65026,0.70141,0.70031,0.38338,1.56129,1.20506,0.02821,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
127,822.768,1.2732,0.92427,0.01795,0.658,0.66659,0.68623,0.37986,1.54418,1.16114,0.02833,0.0292516,0.00975052,0.0292516,0.00975052,0.0292516,0.00975052,0.0292516,0.00975052
